SB_Delay,comm_type,Host_Delay,Border_Delay,Flow_Delay,Controller_Delay
2,1,5,0,1826,1377
2,0,0,0,0,1285
2,3,1084,627,1330,1425
2,0,0,0,0,1098
2,4,1578,607,866,1284
2,0,0,0,0,372
2,2,920,459,2008,1392
2,0,0,0,0,1583
2,3,647,534,2105,1962
2,0,0,0,0,1197
2,4,1154,724,1016,735
2,0,0,0,0,435
2,2,468,0,1844,961
2,0,0,0,0,914
2,3,611,430,1089,1388
2,0,0,0,0,1154
2,4,1617,570,950,948
2,0,0,0,0,387
2,2,665,0,2863,1064
2,0,0,0,0,977
2,3,866,544,1047,1451
2,0,0,0,0,1021
2,4,1257,759,1169,1249
2,0,0,0,0,405
2,2,580,0,1661,1525
2,0,0,0,0,1012
2,1,2,0,1225,1015
2,1,3,0,1742,1827
2,0,0,0,0,1056
2,3,689,855,1172,1682
2,0,0,0,0,805
2,4,825,540,955,649
2,0,0,0,0,515
2,2,508,0,2102,1082
2,0,0,0,0,819
2,3,555,338,915,1088
2,0,0,0,0,1548
2,4,1041,661,960,639
2,0,0,0,0,358
2,2,515,0,1667,1668
2,3,482,398,999,1450
2,0,0,0,0,1183
2,4,997,615,1005,828
2,0,0,0,0,381
2,2,558,0,2192,1179
2,0,0,0,0,871
2,3,654,441,1035,1271
2,0,0,0,0,1333
2,4,1107,787,1248,743
2,0,0,0,0,436
2,2,497,0,1525,1436
2,0,0,0,0,1121
2,1,3,0,1915,1653
2,1,2,0,1425,1106
2,0,0,0,0,1258
2,3,578,526,1498,1479
2,0,0,0,0,1208
2,4,1205,777,1051,732
2,0,0,0,0,472
2,2,653,0,2031,1064
2,0,0,0,0,780
2,3,804,487,1082,1240
2,0,0,0,0,1116
2,4,856,774,918,621
2,0,0,0,0,502
2,2,545,0,1385,1149
2,0,0,0,0,900
2,0,0,0,0,806
2,3,488,395,912,1139
2,0,0,0,0,1258
2,4,946,628,1522,806
2,0,0,0,0,461
2,2,689,0,2716,1425
2,0,0,0,0,950
2,3,603,474,916,1379
2,0,0,0,0,1330
2,4,1294,815,1270,954
2,0,0,0,0,464
2,2,671,0,1944,1127
2,0,0,0,0,1130
2,1,3,0,861,1565
2,0,0,0,0,1042
2,1,2,0,1707,1114
2,0,0,0,0,948
2,3,525,437,975,1223
2,0,0,0,0,1204
2,4,1434,919,957,796
2,0,0,0,0,402
2,2,510,0,1786,975
2,0,0,0,0,1316
2,0,0,0,0,863
2,3,515,351,1024,1622
2,0,0,0,0,1167
2,4,1125,775,894,624
2,0,0,0,0,817
2,2,452,0,1668,1279
2,0,0,0,0,972
2,0,0,0,0,863
2,3,1044,606,1180,1371
2,0,0,0,0,1034
2,4,2376,1495,973,715
2,0,0,0,0,427
2,2,487,0,1718,1232
2,0,0,0,0,803
2,0,0,0,0,982
2,3,535,384,1001,1238
2,0,0,0,0,1028
2,4,935,553,956,702
2,0,0,0,0,378
2,2,564,0,1355,1297
2,0,0,0,0,954
2,1,12,0,1307,2021
2,0,0,0,0,1037
2,1,2,0,1510,1211
2,0,0,0,0,1295
2,3,505,552,1272,1476
2,0,0,0,0,838
2,4,897,717,939,699
2,0,0,0,0,387
2,2,907,0,2465,1572
2,0,0,0,0,1342
2,0,0,0,0,745
2,3,631,642,952,1253
2,0,0,0,0,789
2,4,1155,1822,1349,849
2,0,0,0,0,399
2,2,488,0,2109,937
2,0,0,0,0,914
2,0,0,0,0,846
2,3,632,508,1494,1202
2,0,0,0,0,910
2,4,1013,521,1552,661
2,0,0,0,0,484
2,2,527,0,1730,1120
2,0,0,0,0,848
2,0,0,0,0,984
2,0,0,0,0,1023
2,3,539,426,912,1068
2,0,0,0,0,1425
2,4,853,646,936,727
2,0,0,0,0,397
2,2,492,0,1211,903
2,0,0,0,0,1051
2,1,1,0,1000,1211
2,0,0,0,0,823
2,1,4,0,1798,1646
2,0,0,0,0,900
2,3,921,505,1234,1300
2,0,0,0,0,1121
2,4,1394,826,1191,680
2,0,0,0,0,457
2,2,531,0,1898,1081
2,0,0,0,0,973
2,3,544,441,1198,1218
2,0,0,0,0,836
2,4,876,530,1011,674
2,0,0,0,0,424
2,2,506,0,1262,1267
2,0,0,0,0,816
2,3,564,425,945,1323
2,0,0,0,0,794
2,4,910,788,1511,924
2,0,0,0,0,375
2,2,533,0,1710,1073
2,0,0,0,0,842
2,3,561,422,1099,1282
2,0,0,0,0,1095
2,4,878,648,938,659
2,0,0,0,0,397
2,2,543,0,1369,1240
2,0,0,0,0,971
2,0,0,0,0,798
2,1,2,0,897,1351
2,0,0,0,0,1058
